Order ID,Order Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
CA-2018-1000,11-10-2020,Standard Class,AB-10000,Customer_1,Home Office,Chicago,Illinois,United States,East,Technology,Accessories,1000,2,0.2,190.54
CA-2018-1001,03-16-2020,Standard Class,AB-10001,Customer_2,Corporate,Houston,Texas,United States,West,Office Supplies,Appliances,40,4,0.0,4.28
CA-2018-1002,04-20-2019,Second Class,AB-10002,Customer_3,Corporate,New York,New York,United States,South,Office Supplies,Appliances,50,2,0.3,5.46
CA-2018-1003,04-11-2020,First Class,AB-10003,Customer_4,Home Office,Houston,Texas,United States,Central,Technology,Copiers,300,3,0.0,17.63
CA-2018-1004,01-23-2019,Standard Class,AB-10004,Customer_5,Corporate,Los Angeles,California,United States,Central,Furniture,Bookcases,200,4,0.1,27.99
CA-2018-1005,05-24-2019,Standard Class,AB-10005,Customer_6,Corporate,Houston,Texas,United States,Central,Technology,Accessories,1500,3,0.1,442.12
CA-2018-1006,12-04-2019,Second Class,AB-10006,Customer_7,Home Office,Philadelphia,New York,United States,South,Office Supplies,Storage,20,2,0.3,5.48
CA-2018-1007,12-21-2019,Standard Class,AB-10007,Customer_8,Corporate,Phoenix,Arizona,United States,South,Furniture,Chairs,100,2,0.2,21.71
CA-2018-1008,05-08-2019,First Class,AB-10008,Customer_9,Home Office,Houston,Texas,United States,South,Furniture,Furnishings,250,5,0.2,3.11
CA-2018-1009,02-23-2019,Second Class,AB-10009,Customer_10,Home Office,Chicago,Illinois,United States,South,Technology,Phones,300,3,0.0,19.0
CA-2018-1010,02-19-2020,Standard Class,AB-10010,Customer_11,Home Office,New York,New York,United States,South,Office Supplies,Labels,10,1,0.3,3.47
CA-2018-1011,09-05-2019,Standard Class,AB-10011,Customer_12,Corporate,New York,New York,United States,Central,Office Supplies,Art,75,3,0.0,6.57
CA-2018-1012,01-28-2019,First Class,AB-10012,Customer_13,Consumer,Chicago,Illinois,United States,West,Technology,Machines,1000,2,0.1,61.93
CA-2018-1013,04-30-2019,First Class,AB-10013,Customer_14,Consumer,Philadelphia,New York,United States,South,Furniture,Furnishings,1500,5,0.2,257.88
CA-2018-1014,08-01-2019,Second Class,AB-10014,Customer_15,Corporate,Chicago,Illinois,United States,Central,Furniture,Furnishings,500,5,0.1,145.77
CA-2018-1015,07-09-2018,First Class,AB-10015,Customer_16,Corporate,Houston,Texas,United States,West,Technology,Accessories,100,1,0.0,23.29
CA-2018-1016,12-11-2019,First Class,AB-10016,Customer_17,Home Office,New York,New York,United States,East,Furniture,Furnishings,300,1,0.1,48.13
CA-2018-1017,03-18-2019,Standard Class,AB-10017,Customer_18,Consumer,New York,New York,United States,South,Office Supplies,Labels,20,2,0.2,3.42
CA-2018-1018,04-23-2018,Second Class,AB-10018,Customer_19,Consumer,Chicago,Illinois,United States,East,Furniture,Furnishings,200,2,0.3,36.15
CA-2018-1019,05-03-2018,Second Class,AB-10019,Customer_20,Corporate,Chicago,Illinois,United States,Central,Office Supplies,Binders,25,5,0.3,5.75
CA-2018-1020,07-06-2018,First Class,AB-10020,Customer_21,Corporate,New York,New York,United States,Central,Office Supplies,Art,50,5,0.2,18.53
CA-2018-1021,05-13-2020,Standard Class,AB-10021,Customer_22,Home Office,Houston,Texas,United States,Central,Technology,Machines,2000,4,0.0,574.72
CA-2018-1022,04-18-2019,Standard Class,AB-10022,Customer_23,Consumer,Houston,Texas,United States,Central,Office Supplies,Labels,20,2,0.2,2.75
CA-2018-1023,03-29-2019,Standard Class,AB-10023,Customer_24,Consumer,Philadelphia,New York,United States,South,Office Supplies,Labels,15,3,0.2,2.22
CA-2018-1024,02-08-2019,Second Class,AB-10024,Customer_25,Home Office,Chicago,Illinois,United States,South,Technology,Machines,200,1,0.3,53.06
CA-2018-1025,07-02-2020,Second Class,AB-10025,Customer_26,Home Office,New York,New York,United States,Central,Office Supplies,Labels,20,2,0.1,6.21
CA-2018-1026,03-11-2020,First Class,AB-10026,Customer_27,Home Office,New York,New York,United States,South,Furniture,Bookcases,500,5,0.3,138.5
CA-2018-1027,08-12-2020,Second Class,AB-10027,Customer_28,Home Office,Houston,Texas,United States,East,Furniture,Furnishings,1500,5,0.2,490.26
CA-2018-1028,10-11-2018,First Class,AB-10028,Customer_29,Consumer,Philadelphia,New York,United States,East,Technology,Copiers,500,1,0.0,99.77
CA-2018-1029,04-22-2019,First Class,AB-10029,Customer_30,Consumer,Philadelphia,New York,United States,South,Furniture,Furnishings,500,5,0.1,21.46
CA-2018-1030,10-29-2018,Standard Class,AB-10030,Customer_31,Home Office,New York,New York,United States,East,Furniture,Furnishings,150,3,0.3,23.21
CA-2018-1031,07-20-2019,Second Class,AB-10031,Customer_32,Corporate,Los Angeles,California,United States,Central,Furniture,Furnishings,300,3,0.3,83.31
CA-2018-1032,06-04-2018,First Class,AB-10032,Customer_33,Corporate,Los Angeles,California,United States,Central,Technology,Copiers,400,2,0.1,114.9
CA-2018-1033,07-09-2020,First Class,AB-10033,Customer_34,Consumer,Los Angeles,California,United States,West,Technology,Phones,400,4,0.1,122.65
CA-2018-1034,02-04-2019,Second Class,AB-10034,Customer_35,Home Office,Philadelphia,New York,United States,East,Furniture,Furnishings,400,4,0.2,33.9
CA-2018-1035,07-29-2019,Second Class,AB-10035,Customer_36,Corporate,New York,New York,United States,Central,Technology,Copiers,1000,5,0.1,49.92
CA-2018-1036,04-17-2020,Standard Class,AB-10036,Customer_37,Home Office,Los Angeles,California,United States,South,Office Supplies,Labels,75,3,0.3,22.25
CA-2018-1037,02-16-2018,Standard Class,AB-10037,Customer_38,Corporate,Houston,Texas,United States,South,Office Supplies,Appliances,100,4,0.3,14.89
CA-2018-1038,12-17-2020,Standard Class,AB-10038,Customer_39,Corporate,Chicago,Illinois,United States,East,Office Supplies,Art,50,2,0.0,18.91
CA-2018-1039,07-14-2019,Standard Class,AB-10039,Customer_40,Consumer,Los Angeles,California,United States,Central,Office Supplies,Labels,25,5,0.0,3.31
CA-2018-1040,02-29-2020,Second Class,AB-10040,Customer_41,Consumer,Phoenix,Arizona,United States,Central,Technology,Accessories,300,3,0.3,24.49
CA-2018-1041,12-06-2020,Second Class,AB-10041,Customer_42,Corporate,Phoenix,Arizona,United States,South,Furniture,Chairs,200,4,0.0,44.58
CA-2018-1042,12-23-2018,Standard Class,AB-10042,Customer_43,Consumer,New York,New York,United States,South,Furniture,Tables,600,2,0.1,120.11
CA-2018-1043,06-14-2020,Second Class,AB-10043,Customer_44,Home Office,Houston,Texas,United States,East,Technology,Copiers,2000,4,0.3,551.19
CA-2018-1044,12-02-2020,Standard Class,AB-10044,Customer_45,Corporate,Chicago,Illinois,United States,East,Furniture,Bookcases,250,5,0.3,57.02
CA-2018-1045,10-18-2020,First Class,AB-10045,Customer_46,Corporate,Los Angeles,California,United States,West,Furniture,Chairs,300,3,0.0,41.32
CA-2018-1046,02-17-2019,Standard Class,AB-10046,Customer_47,Home Office,Chicago,Illinois,United States,East,Furniture,Chairs,250,5,0.0,29.28
CA-2018-1047,09-04-2020,Standard Class,AB-10047,Customer_48,Home Office,Houston,Texas,United States,South,Furniture,Tables,250,5,0.3,36.0
CA-2018-1048,05-22-2020,Second Class,AB-10048,Customer_49,Consumer,Chicago,Illinois,United States,East,Furniture,Tables,100,1,0.0,33.05
CA-2018-1049,01-31-2019,Standard Class,AB-10049,Customer_50,Home Office,Houston,Texas,United States,East,Technology,Machines,100,1,0.2,20.21
